contact_id	1-indexed-contact_id	connected	shank_id	x	y
281	282	1	1	11	2820
282	283	1	1	59	2840
283	284	1	1	27	2840
284	285	1	1	43	2860
285	286	1	1	11	2860
286	287	1	1	59	2880
287	288	1	1	27	2880
288	289	1	1	43	2900
289	290	1	1	11	2900
290	291	1	1	59	2920
291	292	1	1	27	2920
292	293	1	1	43	2940
293	294	1	1	11	2940
294	295	1	1	59	2960
295	296	1	1	27	2960
296	297	1	1	43	2980
297	298	1	1	11	2980
298	299	1	1	59	3000
299	300	1	1	27	3000
300	301	1	1	43	3020
301	302	1	1	11	3020
302	303	1	1	59	3040
303	304	0	1	27	3040
304	305	1	1	43	3060
305	306	1	1	11	3060
306	307	1	1	59	3080
307	308	1	1	27	3080
308	309	1	1	43	3100
309	310	1	1	11	3100
310	311	1	1	59	3120
311	312	1	1	27	3120
312	313	1	1	43	3140
313	314	1	1	11	3140
314	315	1	1	59	3160
315	316	1	1	27	3160
316	317	1	1	43	3180
317	318	1	1	11	3180
318	319	1	1	59	3200
319	320	1	1	27	3200
320	321	1	1	43	3220
321	322	1	1	11	3220
322	323	1	1	59	3240
323	324	1	1	27	3240
324	325	1	1	43	3260
325	326	1	1	11	3260
326	327	1	1	59	3280
327	328	1	1	27	3280
328	329	1	1	43	3300
329	330	1	1	11	3300
330	331	1	1	59	3320
331	332	1	1	27	3320
332	333	1	1	43	3340
333	334	1	1	11	3340
334	335	1	1	59	3360
335	336	1	1	27	3360
336	337	1	1	43	3380
337	338	1	1	11	3380
338	339	1	1	59	3400
339	340	1	1	27	3400
340	341	0	1	43	3420
341	342	1	1	11	3420
342	343	1	1	59	3440
343	344	1	1	27	3440
344	345	1	1	43	3460
345	346	1	1	11	3460
346	347	1	1	59	3480
347	348	1	1	27	3480
348	349	1	1	43	3500
349	350	1	1	11	3500
350	351	1	1	59	3520
351	352	1	1	27	3520
352	353	1	1	43	3540
353	354	1	1	11	3540
354	355	1	1	59	3560
355	356	1	1	27	3560
356	357	1	1	43	3580
357	358	1	1	11	3580
358	359	1	1	59	3600
359	360	1	1	27	3600
360	361	1	1	43	3620
361	362	1	1	11	3620
362	363	1	1	59	3640
363	364	1	1	27	3640
364	365	1	1	43	3660
365	366	1	1	11	3660
366	367	1	1	59	3680
367	368	1	1	27	3680
368	369	1	1	43	3700
369	370	1	1	11	3700
370	371	1	1	59	3720
371	372	1	1	27	3720
372	373	1	1	43	3740
373	374	1	1	11	3740
374	375	1	1	59	3760
375	376	1	1	27	3760
376	377	1	1	43	3780
377	378	1	1	11	3780
378	379	1	1	59	3800
379	380	0	1	27	3800
380	381	1	1	43	3820
381	382	1	1	11	3820
382	383	1	1	59	3840
383	384	1	1	27	3840
