contact_id	probe_id
78	Neuropixel-Imec
79	Neuropixel-Imec
80	Neuropixel-Imec
81	Neuropixel-Imec
82	Neuropixel-Imec
83	Neuropixel-Imec
84	Neuropixel-Imec
85	Neuropixel-Imec
86	Neuropixel-Imec
87	Neuropixel-Imec
88	Neuropixel-Imec
89	Neuropixel-Imec
90	Neuropixel-Imec
91	Neuropixel-Imec
92	Neuropixel-Imec
93	Neuropixel-Imec
94	Neuropixel-Imec
95	Neuropixel-Imec
96	Neuropixel-Imec
97	Neuropixel-Imec
98	Neuropixel-Imec
99	Neuropixel-Imec
100	Neuropixel-Imec
101	Neuropixel-Imec
102	Neuropixel-Imec
103	Neuropixel-Imec
104	Neuropixel-Imec
105	Neuropixel-Imec
106	Neuropixel-Imec
107	Neuropixel-Imec
108	Neuropixel-Imec
109	Neuropixel-Imec
110	Neuropixel-Imec
111	Neuropixel-Imec
112	Neuropixel-Imec
113	Neuropixel-Imec
114	Neuropixel-Imec
115	Neuropixel-Imec
116	Neuropixel-Imec
117	Neuropixel-Imec
118	Neuropixel-Imec
119	Neuropixel-Imec
120	Neuropixel-Imec
121	Neuropixel-Imec
122	Neuropixel-Imec
123	Neuropixel-Imec
124	Neuropixel-Imec
125	Neuropixel-Imec
126	Neuropixel-Imec
127	Neuropixel-Imec
128	Neuropixel-Imec
129	Neuropixel-Imec
130	Neuropixel-Imec
131	Neuropixel-Imec
132	Neuropixel-Imec
133	Neuropixel-Imec
134	Neuropixel-Imec
135	Neuropixel-Imec
136	Neuropixel-Imec
137	Neuropixel-Imec
138	Neuropixel-Imec
139	Neuropixel-Imec
140	Neuropixel-Imec
141	Neuropixel-Imec
142	Neuropixel-Imec
143	Neuropixel-Imec
144	Neuropixel-Imec
145	Neuropixel-Imec
146	Neuropixel-Imec
147	Neuropixel-Imec
148	Neuropixel-Imec
149	Neuropixel-Imec
150	Neuropixel-Imec
151	Neuropixel-Imec
152	Neuropixel-Imec
153	Neuropixel-Imec
154	Neuropixel-Imec
155	Neuropixel-Imec
156	Neuropixel-Imec
157	Neuropixel-Imec
158	Neuropixel-Imec
159	Neuropixel-Imec
160	Neuropixel-Imec
161	Neuropixel-Imec
162	Neuropixel-Imec
163	Neuropixel-Imec
164	Neuropixel-Imec
165	Neuropixel-Imec
166	Neuropixel-Imec
167	Neuropixel-Imec
168	Neuropixel-Imec
169	Neuropixel-Imec
170	Neuropixel-Imec
171	Neuropixel-Imec
172	Neuropixel-Imec
173	Neuropixel-Imec
174	Neuropixel-Imec
175	Neuropixel-Imec
176	Neuropixel-Imec
177	Neuropixel-Imec
178	Neuropixel-Imec
179	Neuropixel-Imec
180	Neuropixel-Imec
181	Neuropixel-Imec
182	Neuropixel-Imec
183	Neuropixel-Imec
184	Neuropixel-Imec
185	Neuropixel-Imec
186	Neuropixel-Imec
187	Neuropixel-Imec
188	Neuropixel-Imec
189	Neuropixel-Imec
190	Neuropixel-Imec
191	Neuropixel-Imec
192	Neuropixel-Imec
193	Neuropixel-Imec
194	Neuropixel-Imec
195	Neuropixel-Imec
196	Neuropixel-Imec
197	Neuropixel-Imec
198	Neuropixel-Imec
199	Neuropixel-Imec
200	Neuropixel-Imec
201	Neuropixel-Imec
202	Neuropixel-Imec
203	Neuropixel-Imec
204	Neuropixel-Imec
205	Neuropixel-Imec
206	Neuropixel-Imec
207	Neuropixel-Imec
208	Neuropixel-Imec
209	Neuropixel-Imec
210	Neuropixel-Imec
211	Neuropixel-Imec
212	Neuropixel-Imec
213	Neuropixel-Imec
214	Neuropixel-Imec
215	Neuropixel-Imec
216	Neuropixel-Imec
217	Neuropixel-Imec
218	Neuropixel-Imec
219	Neuropixel-Imec
220	Neuropixel-Imec
221	Neuropixel-Imec
222	Neuropixel-Imec
223	Neuropixel-Imec
224	Neuropixel-Imec
225	Neuropixel-Imec
226	Neuropixel-Imec
227	Neuropixel-Imec
228	Neuropixel-Imec
229	Neuropixel-Imec
230	Neuropixel-Imec
231	Neuropixel-Imec
232	Neuropixel-Imec
233	Neuropixel-Imec
234	Neuropixel-Imec
235	Neuropixel-Imec
236	Neuropixel-Imec
237	Neuropixel-Imec
238	Neuropixel-Imec
239	Neuropixel-Imec
240	Neuropixel-Imec
241	Neuropixel-Imec
242	Neuropixel-Imec
243	Neuropixel-Imec
244	Neuropixel-Imec
245	Neuropixel-Imec
246	Neuropixel-Imec
247	Neuropixel-Imec
248	Neuropixel-Imec
249	Neuropixel-Imec
250	Neuropixel-Imec
251	Neuropixel-Imec
252	Neuropixel-Imec
253	Neuropixel-Imec
254	Neuropixel-Imec
255	Neuropixel-Imec
256	Neuropixel-Imec
257	Neuropixel-Imec
258	Neuropixel-Imec
259	Neuropixel-Imec
260	Neuropixel-Imec
261	Neuropixel-Imec
262	Neuropixel-Imec
263	Neuropixel-Imec
264	Neuropixel-Imec
265	Neuropixel-Imec
266	Neuropixel-Imec
267	Neuropixel-Imec
268	Neuropixel-Imec
269	Neuropixel-Imec
270	Neuropixel-Imec
271	Neuropixel-Imec
272	Neuropixel-Imec
273	Neuropixel-Imec
274	Neuropixel-Imec
275	Neuropixel-Imec
276	Neuropixel-Imec
277	Neuropixel-Imec
278	Neuropixel-Imec
279	Neuropixel-Imec
280	Neuropixel-Imec
281	Neuropixel-Imec
282	Neuropixel-Imec
283	Neuropixel-Imec
284	Neuropixel-Imec
285	Neuropixel-Imec
286	Neuropixel-Imec
287	Neuropixel-Imec
288	Neuropixel-Imec
289	Neuropixel-Imec
290	Neuropixel-Imec
291	Neuropixel-Imec
292	Neuropixel-Imec
293	Neuropixel-Imec
294	Neuropixel-Imec
295	Neuropixel-Imec
296	Neuropixel-Imec
297	Neuropixel-Imec
298	Neuropixel-Imec
299	Neuropixel-Imec
300	Neuropixel-Imec
301	Neuropixel-Imec
302	Neuropixel-Imec
303	Neuropixel-Imec
304	Neuropixel-Imec
305	Neuropixel-Imec
306	Neuropixel-Imec
307	Neuropixel-Imec
308	Neuropixel-Imec
309	Neuropixel-Imec
310	Neuropixel-Imec
311	Neuropixel-Imec
312	Neuropixel-Imec
313	Neuropixel-Imec
314	Neuropixel-Imec
315	Neuropixel-Imec
316	Neuropixel-Imec
317	Neuropixel-Imec
318	Neuropixel-Imec
319	Neuropixel-Imec
320	Neuropixel-Imec
321	Neuropixel-Imec
322	Neuropixel-Imec
323	Neuropixel-Imec
324	Neuropixel-Imec
325	Neuropixel-Imec
326	Neuropixel-Imec
327	Neuropixel-Imec
328	Neuropixel-Imec
329	Neuropixel-Imec
330	Neuropixel-Imec
331	Neuropixel-Imec
332	Neuropixel-Imec
333	Neuropixel-Imec
334	Neuropixel-Imec
335	Neuropixel-Imec
336	Neuropixel-Imec
337	Neuropixel-Imec
338	Neuropixel-Imec
339	Neuropixel-Imec
340	Neuropixel-Imec
341	Neuropixel-Imec
342	Neuropixel-Imec
343	Neuropixel-Imec
344	Neuropixel-Imec
345	Neuropixel-Imec
346	Neuropixel-Imec
347	Neuropixel-Imec
348	Neuropixel-Imec
349	Neuropixel-Imec
350	Neuropixel-Imec
351	Neuropixel-Imec
352	Neuropixel-Imec
353	Neuropixel-Imec
354	Neuropixel-Imec
355	Neuropixel-Imec
356	Neuropixel-Imec
357	Neuropixel-Imec
358	Neuropixel-Imec
359	Neuropixel-Imec
360	Neuropixel-Imec
361	Neuropixel-Imec
362	Neuropixel-Imec
363	Neuropixel-Imec
364	Neuropixel-Imec
365	Neuropixel-Imec
366	Neuropixel-Imec
367	Neuropixel-Imec
368	Neuropixel-Imec
369	Neuropixel-Imec
370	Neuropixel-Imec
371	Neuropixel-Imec
372	Neuropixel-Imec
373	Neuropixel-Imec
374	Neuropixel-Imec
375	Neuropixel-Imec
376	Neuropixel-Imec
377	Neuropixel-Imec
378	Neuropixel-Imec
379	Neuropixel-Imec
380	Neuropixel-Imec
381	Neuropixel-Imec
382	Neuropixel-Imec
383	Neuropixel-Imec
384	Neuropixel-Imec
385	Neuropixel-Imec
386	Neuropixel-Imec
387	Neuropixel-Imec
388	Neuropixel-Imec
389	Neuropixel-Imec
